DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA ,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
110217800,9/27/2011 0:00,9/26/2011 0:00,2345,2,Rampart,285,1,110,CRIMINAL HOMICIDE,0309 0430 0906 1100 1300 1270,20,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,1900 W  PICO                         BL,,34.0462,-118.2802
111312205,5/14/2011 0:00,5/14/2011 0:00,105,13,Newton,1377,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1409 1407,36,M,B,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,998,,,5400    DUARTE                       ST,,33.9938,-118.2424
111204604,1/10/2011 0:00,1/10/2011 0:00,450,12,77th Street,1255,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1822,36,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,7300 S  NORMANDIE                    AV,,33.9737,-118.3003
110520735,11/27/2011 0:00,11/27/2011 0:00,1730,5,Harbor,511,1,110,CRIMINAL HOMICIDE,1309 0906 0430,16,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,SENATOR                      AV,245TH                        ST,33.8025,-118.3018
110100799,4/12/2011 0:00,4/12/2011 0:00,2145,1,Central,145,1,110,CRIMINAL HOMICIDE,,65,M,B,102,SIDEWALK,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,998,,,100 E  5TH                          ST,,34.0467,-118.2485
111613334,7/13/2011 0:00,7/13/2011 0:00,1612,16,Foothill,1602,1,110,CRIMINAL HOMICIDE,0407 0430 0906 1100 1414 1409 1407 1402,25,F,B,501,SINGLE FAMILY DWELLING,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,11600    BROMONT                      AV,,34.2809,-118.4048
110519740,11/6/2011 0:00,11/6/2011 0:00,105,5,Harbor,518,1,110,CRIMINAL HOMICIDE,0216 0309 0430 0906 1100 1309 1312,20,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,1400    LAKME                        AV,,33.7923,-118.2607
110409902,5/23/2011 0:00,5/23/2011 0:00,2017,4,Hollenbeck,438,1,110,CRIMINAL HOMICIDE,0302 0342 0371 0430 0906 1100 1309 1313 1402 1816,25,M,H,102,SIDEWALK,106,UNKNOWN FIREARM,IC,Invest Cont,110,998,,,ITHACA,ENDICOTT,34.0765,-118.1703
110116396,9/6/2011 0:00,9/6/2011 0:00,430,1,Central,158,1,110,CRIMINAL HOMICIDE,416,39,M,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,110,,,,6TH                          ST,GLADYS,34.0398,-118.2413
111804983,1/19/2011 0:00,1/17/2011 0:00,2110,18,Southeast,1821,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1300,21,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,,,,500 W  98TH                         ST,,33.9472,-118.2826
110511230,5/20/2011 0:00,5/20/2011 0:00,1800,5,Harbor,529,1,110,CRIMINAL HOMICIDE,0350 1219,24,F,B,251,RECYCLING CENTER,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110,,,,900 E  E                            ST,,33.7762,-118.2517
111805794,2/1/2011 0:00,1/31/2011 0:00,2024,18,Southeast,1842,1,110,CRIMINAL HOMICIDE,0430 0906 1300 1310 1402,46,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,110,998,,,BROADWAY,IMPERIAL,33.931,-118.2783
111319494,8/23/2011 0:00,8/18/2011 0:00,2030,13,Newton,1345,1,110,CRIMINAL HOMICIDE,0906 1100,55,F,B,101,STREET,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,998,,,1200 E  41ST                         ST,,34.0093,-118.2543
111620147,12/13/2011 0:00,12/13/2011 0:00,1028,16,Foothill,1642,1,110,CRIMINAL HOMICIDE,1402 0430 1100 1414,39,F,H,501,SINGLE FAMILY DWELLING,106,UNKNOWN FIREARM,IC,Invest Cont,110,998,,,13300    PIERCE                       ST,,34.2606,-118.4224
111816149,8/2/2011 0:00,8/1/2011 0:00,2120,18,Southeast,1862,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100,27,M,B,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,11400    LINK                         ST,,33.931,-118.2736
111305728,1/28/2011 0:00,1/28/2011 0:00,2020,13,Newton,1354,1,110,CRIMINAL HOMICIDE,0334 0430 0906 1100 1409,23,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,43RD                         ST,MAIN                         ST,34.0057,-118.274
111106253,2/14/2011 0:00,2/14/2011 0:00,1510,11,Northeast,1146,1,110,CRIMINAL HOMICIDE,0400 1257,3,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,110,,,,2900    PARTRIDGE                    AV,,34.1047,-118.2469
110106386,2/18/2011 0:00,1/5/2011 0:00,1300,1,Central,118,1,110,CRIMINAL HOMICIDE,,0,F,U,710,OTHER PREMISE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110,,,,1000 N  MAIN                         ST,,34.0627,-118.2341
110624820,10/15/2011 0:00,10/15/2011 0:00,43,6,Hollywood,647,1,110,CRIMINAL HOMICIDE,0906 0342 1402 0430 1100 0334 0302,20,M,H,101,STREET,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,HOLLYWOOD                    BL,GOWER,34.1017,-118.3224
110712872,7/30/2011 0:00,7/30/2011 0:00,1945,7,Wilshire,766,1,110,CRIMINAL HOMICIDE,0430 1414 1402 1309 1100 0906 0400,27,M,H,102,SIDEWALK,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,QUEEN ANNE                   PL,PICO                         BL,34.0484,-118.3326
110114503,9/20/2011 0:00,9/20/2011 0:00,1430,1,Central,166,1,110,CRIMINAL HOMICIDE,0411 1402,22,M,B,102,SIDEWALK,204,FOLDING KNIFE,AA,Adult Arrest,110,998,,,SAN JULIAN,5TH                          ST,34.0446,-118.245
111818546,9/18/2011 0:00,9/17/2011 0:00,2327,18,Southeast,1827,1,110,CRIMINAL HOMICIDE,0400 0416 0430 0432 0906 1100,31,M,H,104,DRIVEWAY,102,HAND GUN,IC,Invest Cont,110,,,,9900    ANZAC                        AV,,33.9465,-118.2379
111110731,5/7/2011 0:00,5/7/2011 0:00,110,11,Northeast,1147,1,110,CRIMINAL HOMICIDE,0371 0430 0906 1100 1402,19,M,H,707,GARAGE/CARPORT,102,HAND GUN,IC,Invest Cont,110,998,,,2000    ISABEL                       ST,,34.103,-118.2339
111000679,5/6/2011 0:00,5/5/2011 0:00,2330,10,West Valley,1035,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1407 0302 1300 1309 1270,19,M,H,102,SIDEWALK,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,18300    VANOWEN                      ST,,34.1939,-118.5317
111226813,11/16/2011 0:00,11/16/2011 0:00,1500,12,77th Street,1265,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309,21,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,110,,,,1300 W  84TH                         PL,,33.9617,-118.2985
111907918,3/7/2011 0:00,3/6/2011 0:00,2030,19,Mission,1984,1,110,CRIMINAL HOMICIDE,0311 0400 0430 0906 1100 1402,17,M,H,102,SIDEWALK,102,HAND GUN,JA,Juv Arrest,110,998,,,8300    WILLIS                       AV,,34.2215,-118.4553
110521645,12/18/2011 0:00,12/18/2011 0:00,45,5,Harbor,567,1,110,CRIMINAL HOMICIDE,1309 1402 0430 1100 1407,48,M,W,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,MESA                         ST,22ND                         ST,33.7243,-118.2858
111016232,10/5/2011 0:00,10/5/2011 0:00,1635,10,West Valley,1035,1,110,CRIMINAL HOMICIDE,0906 1407 1402 0334 0302 1310 1100 0430,32,M,H,122,"VEHICLE, PASSENGER/TRUCK",102,HAND GUN,AO,Adult Other,110,998,,,6600    ETIWANDA                     AV,,34.1903,-118.5317
110104233,1/6/2011 0:00,1/2/2011 0:00,1619,1,Central,156,1,110,CRIMINAL HOMICIDE,,52,M,B,,,,,IC,Invest Cont,110,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
910220366,8/9/2011 0:00,8/9/2011 0:00,800,4,Hollenbeck,443,1,110,CRIMINAL HOMICIDE,1402,-4,X,X,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110,998,,,1100 N  MISSION                      RD,,34.0606,-118.2144
111315107,6/22/2011 0:00,6/22/2011 0:00,2155,13,Newton,1323,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1223 1217 1409,0,M,H,102,SIDEWALK,106,UNKNOWN FIREARM,IC,Invest Cont,110,998,,,700 E  23RD                         ST,,34.0241,-118.2597
111220781,8/22/2011 0:00,8/21/2011 0:00,2134,12,77th Street,1242,1,110,CRIMINAL HOMICIDE,0305 0334 0342 0416 0417 0430 0906 1801,24,M,H,121,YARD (RESIDENTIAL/BUSINESS),102,HAND GUN,AA,Adult Arrest,110,,,,6300    5TH                          AV,,33.9827,-118.3226
111208458,3/29/2011 0:00,3/27/2011 0:00,1400,12,77th Street,1273,1,110,CRIMINAL HOMICIDE,0305 0309 0430 0906 1100 1414 1407 1822,29,M,B,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,110,998,,,2000 W  MANCHESTER                   BL,,33.96,-118.3134
111217412,7/5/2011 0:00,7/5/2011 0:00,220,12,77th Street,1257,1,110,CRIMINAL HOMICIDE,0302 0342 0371 0430 0906 1100 1309 1402 1407,21,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,110,,,,VERMONT,78TH,33.9688,-118.2914
111813824,6/21/2011 0:00,6/18/2011 0:00,130,18,Southeast,1834,1,110,CRIMINAL HOMICIDE,0400 0416 2000,19,M,B,101,STREET,304,CLUB/BAT,AA,Adult Arrest,110,,,,107TH                        ST,MCKINLEY                     AV,33.9393,-118.2608
112011197,5/9/2011 0:00,5/9/2011 0:00,1310,20,Olympic,2079,1,110,CRIMINAL HOMICIDE,0406 0411 0561 0913,59,F,H,501,SINGLE FAMILY DWELLING,207,OTHER KNIFE,AO,Adult Other,110,,,,1500    ARAPAHOE                     ST,,34.0458,-118.2854
110114124,7/23/2011 0:00,7/23/2011 0:00,135,1,Central,138,1,110,CRIMINAL HOMICIDE,0302 0430 1100 1270,29,M,O,735,NIGHT CLUB (OPEN EVENINGS ONLY),102,HAND GUN,IC,Invest Cont,110,,,,300 S  ALAMEDA                      ST,,34.0455,-118.2381
110505952,2/8/2011 0:00,2/8/2011 0:00,220,5,Harbor,522,1,110,CRIMINAL HOMICIDE,0342 0345 0371 0430 0432 0906 1100 1402 1407,35,M,H,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,998,,,600 W  I                            ST,,33.7811,-118.2688
110205180,1/24/2011 0:00,1/24/2011 0:00,500,2,Rampart,257,1,110,CRIMINAL HOMICIDE,0305 0432 0430 1100,46,M,H,108,PARKING LOT,102,HAND GUN,IC,Invest Cont,110,,,,1400 W  6TH                          ST,,34.0562,-118.2673
111014301,8/12/2011 0:00,8/11/2011 0:00,1923,10,West Valley,1005,1,110,CRIMINAL HOMICIDE,1270 1100 1402 1409 1419 0303 1300 0302 0906 1407,18,M,H,103,ALLEY,102,HAND GUN,IC,Invest Cont,110,998,,,7900    WHITE OAK                    AV,,34.2139,-118.5186
112012218,5/27/2011 0:00,5/27/2011 0:00,2320,20,Olympic,2015,1,110,CRIMINAL HOMICIDE,0446 0353 0411 0417 1409 0334 0913 0416 0408 1815,19,M,A,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,110,998,,,100 N  MARIPOSA                     AV,,34.0728,-118.2994
112119913,11/30/2011 0:00,11/30/2011 0:00,1930,21,Topanga,2177,1,110,CRIMINAL HOMICIDE,0430 1100 1402 1407,23,M,W,109,PARK/PLAYGROUND,106,UNKNOWN FIREARM,AA,Adult Arrest,110,998,,,TOPANGA CANYON               BL,MARYLEE                      ST,34.1753,-118.6055
111228921,12/18/2011 0:00,12/18/2011 0:00,220,12,77th Street,1267,1,110,CRIMINAL HOMICIDE,0906 1309 0342 1402 0302 0340 0430 1100 1407,28,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,,,,800 W  84TH                         ST,,33.9625,-118.2871
111122973,12/29/2011 0:00,12/29/2011 0:00,50,11,Northeast,1118,1,110,CRIMINAL HOMICIDE,0400 0416 1402 0411 1218,63,M,W,210,RESTAURANT/FAST FOOD,207,OTHER KNIFE,IC,Invest Cont,110,998,,,5800 N  FIGUEROA                     ST,,34.1106,-118.1909
111225785,11/1/2011 0:00,10/29/2011 0:00,2355,12,77th Street,1203,1,110,CRIMINAL HOMICIDE,1300 1822 0302 0334 0371 0430 0906,18,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,1700 W  50TH                         ST,,33.998,-118.3089
110326768,12/17/2011 0:00,12/17/2011 0:00,1009,3,Southwest,393,1,110,CRIMINAL HOMICIDE,0430 1100 1822 1407 1402,0,M,B,103,ALLEY,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,4200    CRENSHAW                     BL,,34.0085,-118.3351
110401204,9/15/2011 0:00,9/15/2011 0:00,1653,4,Hollenbeck,437,1,110,CRIMINAL HOMICIDE,1501,0,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,110,,,,4700    CATALPA                      ST,,34.064,-118.1826
111814583,7/5/2011 0:00,7/4/2011 0:00,2258,18,Southeast,1839,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402,34,M,B,501,SINGLE FAMILY DWELLING,104,SHOTGUN,IC,Invest Cont,110,,,,2200 E  105TH                        ST,,33.9406,-118.2328
110919609,10/11/2011 0:00,10/11/2011 0:00,1720,9,Van Nuys,901,1,110,CRIMINAL HOMICIDE,0430 1100,46,M,H,501,SINGLE FAMILY DWELLING,101,REVOLVER,AA,Adult Arrest,110,753,,,7800    ORION                        AV,,34.2121,-118.4706
111612932,7/6/2011 0:00,7/6/2011 0:00,1604,16,Foothill,1642,1,110,CRIMINAL HOMICIDE,0302 0334 0345 0430 0906 1100 1270 1414 1409 1402,28,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,110,998,,,TELFAIR                      AV,GOLETA                       ST,34.2554,-118.4169
111804782,1/15/2011 0:00,1/15/2011 0:00,135,18,Southeast,1837,1,110,CRIMINAL HOMICIDE,0430 0906 1100,31,M,B,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,,,,1700 E  111TH                        PL,,33.9339,-118.2434
111229103,12/21/2011 0:00,12/20/2011 0:00,2235,12,77th Street,1241,1,110,CRIMINAL HOMICIDE,0342 1100 0302,54,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,110,,,,6300    CRENSHAW                     BL,,33.9829,-118.3309
111618537,11/1/2011 0:00,11/1/2011 0:00,2222,16,Foothill,1621,1,110,CRIMINAL HOMICIDE,0430 1100 1203 1402 1414 1409 1407,27,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,998,,,13900    LOUVRE                       ST,,34.2625,-118.4361
111912804,5/26/2011 0:00,5/25/2011 0:00,2330,19,Mission,1916,1,110,CRIMINAL HOMICIDE,0430 0906 1402,39,M,W,501,SINGLE FAMILY DWELLING,104,SHOTGUN,AA,Adult Arrest,110,998,,,13900    AZTEC                        ST,,34.3039,-118.4358
111612453,6/26/2011 0:00,6/26/2011 0:00,1926,16,Foothill,1663,1,110,CRIMINAL HOMICIDE,0411 0913 1401 1409 1414 1402,48,M,H,701,HOSPITAL,223,UNKNOWN TYPE CUTTING INSTRUMENT,AA,Adult Arrest,110,998,,,9400    SAN FERNANDO                 RD,,34.2401,-118.3946
111318350,8/6/2011 0:00,8/6/2011 0:00,330,13,Newton,1354,1,110,CRIMINAL HOMICIDE,0406 0416 0913 1240 1309 1402 1409,31,F,H,101,STREET,302,BLUNT INSTRUMENT,AA,Adult Arrest,110,998,,,4000 S  MAIN                         ST,,34.0111,-118.274
110312826,5/20/2011 0:00,5/19/2011 0:00,2000,3,Southwest,313,1,110,CRIMINAL HOMICIDE,0302 0430 0906 1100 1300 1313 1414 1402 1407,46,M,B,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,4000    MONTCLAIR                    ST,,34.0303,-118.3299
111221190,8/28/2011 0:00,8/28/2011 0:00,15,12,77th Street,1269,1,110,CRIMINAL HOMICIDE,0342 0430 0906 0913 1100 1402 1409,61,M,B,102,SIDEWALK,102,HAND GUN,AA,Adult Arrest,110,,,,8200    MCKINLEY                     AV,,33.9647,-118.2608
110520896,12/1/2011 0:00,12/1/2011 0:00,2125,5,Harbor,529,1,110,CRIMINAL HOMICIDE,1100 0430 0906,20,M,H,102,SIDEWALK,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,ANAHEIM                      ST,BANNING                      BL,33.7803,-118.2559
110106713,2/23/2011 0:00,2/23/2011 0:00,1559,1,Central,195,1,110,CRIMINAL HOMICIDE,0416 0913 1100 1815,44,M,H,724,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,102,HAND GUN,AA,Adult Arrest,110,,,,1300 S  HILL                         ST,,34.0377,-118.2621
111322144,10/3/2011 0:00,10/3/2011 0:00,140,13,Newton,1362,1,110,CRIMINAL HOMICIDE,1240 0430 1310 1409 1410 0302 0334 1100 1309 1402,33,M,H,108,PARKING LOT,101,REVOLVER,AA,Adult Arrest,110,998,,,200 E  50TH                         ST,,33.9975,-118.2718
110101247,10/24/2011 0:00,10/18/2011 0:00,1500,1,Central,132,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1251 1270 1816,16,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,,,,3RD                          ST,HILL                         ST,34.0518,-118.2493
110109249,4/15/2011 0:00,4/12/2011 0:00,1200,1,Central,166,1,110,CRIMINAL HOMICIDE,0416 1238,47,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110,,,,600    WALL                         ST,,34.0435,-118.2471
111817423,8/28/2011 0:00,8/28/2011 0:00,7,18,Southeast,1838,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1310 1822,28,M,B,101,STREET,103,RIFLE,IC,Invest Cont,110,,,,10600    GRAPE                        ST,,33.9397,-118.2369
111418602,6/22/2011 0:00,6/22/2011 0:00,1605,14,Pacific,1416,1,110,CRIMINAL HOMICIDE,0371 0906 1100 1501,19,M,H,117,BEACH,102,HAND GUN,AA,Adult Arrest,110,,,,LAKE                         ST,PENMAR                       ST,34.0047,-118.4587
110409864,5/23/2011 0:00,5/23/2011 0:00,919,4,Hollenbeck,417,1,110,CRIMINAL HOMICIDE,0302 0326 0342 0371 0906 1100 1309 1816,32,M,H,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,4100 N  MISSION                      RD,,34.0766,-118.1947
111112812,6/12/2011 0:00,6/12/2011 0:00,1945,11,Northeast,1127,1,110,CRIMINAL HOMICIDE,0400 0416 1100 1402,27,M,H,501,SINGLE FAMILY DWELLING,102,HAND GUN,IC,Invest Cont,110,998,,,300    NEWLAND                      ST,,34.1186,-118.1848
111101020,10/29/2011 0:00,10/29/2011 0:00,1030,11,Northeast,1176,1,110,CRIMINAL HOMICIDE,1257 1501,0,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,110,,,,2400    MEADOWVALE                   AV,,34.0912,-118.2333
110511308,5/24/2011 0:00,5/24/2011 0:00,1500,5,Harbor,541,1,110,CRIMINAL HOMICIDE,0432 0430 1100 0913 1251 1259 1407 1402,16,M,H,501,SINGLE FAMILY DWELLING,104,SHOTGUN,AA,Adult Arrest,110,998,,,900 W  BASIN                        ST,,33.7555,-118.2967
111514270,7/15/2011 0:00,7/15/2011 0:00,1000,15,N Hollywood,1524,1,110,CRIMINAL HOMICIDE,0430 0913 1100 1401 1402 1420 1419,30,M,H,735,NIGHT CLUB (OPEN EVENINGS ONLY),109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,12100    VICTORY                      BL,,34.1867,-118.3965
111805888,2/3/2011 0:00,2/2/2011 0:00,2359,18,Southeast,1844,1,110,CRIMINAL HOMICIDE,0430 0906 1100,18,F,H,103,ALLEY,102,HAND GUN,IC,Invest Cont,110,,,,600 E  111TH                        ST,,33.9348,-118.2652
110218627,10/13/2011 0:00,10/13/2011 0:00,1300,2,Rampart,285,1,110,CRIMINAL HOMICIDE,0302 0342 0430 0906 1100 1309 1816,19,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,1800 W  PICO                         BL,,34.0456,-118.2789
111811655,5/14/2011 0:00,5/13/2011 0:00,2205,18,Southeast,1861,1,110,CRIMINAL HOMICIDE,0430 0906 0913 1100 1300,34,M,B,108,PARKING LOT,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,11900 S  VERMONT                      AV,,33.9251,-118.2915
110520734,11/27/2011 0:00,11/27/2011 0:00,1730,5,Harbor,511,1,110,CRIMINAL HOMICIDE,0309 1309 0906 0430 1100,16,M,H,102,SIDEWALK,102,HAND GUN,IC,Invest Cont,110,,,,SENATOR                      AV,245TH                        ST,33.8025,-118.3018
110518286,10/8/2011 0:00,10/8/2011 0:00,1645,5,Harbor,504,1,110,CRIMINAL HOMICIDE,0411 0906 1402,35,M,H,102,SIDEWALK,207,OTHER KNIFE,AA,Adult Arrest,110,998,,,20300 S  HARVARD                      BL,,33.8468,-118.3066
110315642,7/1/2011 0:00,7/1/2011 0:00,1230,3,Southwest,317,1,110,CRIMINAL HOMICIDE,0430 0906 0907 1100 1402,44,M,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,AO,Adult Other,110,998,,,1700 W  22ND                         ST,,34.0364,-118.2976
111817314,8/26/2011 0:00,8/26/2011 0:00,55,18,Southeast,1803,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1309,43,M,B,101,STREET,106,UNKNOWN FIREARM,IC,Invest Cont,110,,,,200 E  87TH                         PL,,33.9581,-118.2717
110611627,4/17/2011 0:00,4/17/2011 0:00,312,6,Hollywood,643,1,110,CRIMINAL HOMICIDE,0302 0371 0906 1100 1402,22,M,B,203,OTHER BUSINESS,109,SEMI-AUTOMATIC PISTOL,AA,Adult Arrest,110,998,,,1600 N  LA BREA                      AV,,34.0998,-118.3447
111216986,9/13/2011 0:00,9/13/2011 0:00,1700,12,77th Street,1204,1,110,CRIMINAL HOMICIDE,0342 0430 0906 1100 1309,28,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,,,,1500 W  46TH                         ST,,34.0019,-118.3035
110502161,12/24/2011 0:00,12/24/2011 0:00,1915,5,Harbor,563,1,110,CRIMINAL HOMICIDE,1309 1202 0411 1261,60,F,W,102,SIDEWALK,207,OTHER KNIFE,IC,Invest Cont,110,,,,1100 S  PACIFIC                      AV,,33.7342,-118.2879
111504035,1/4/2011 0:00,1/4/2011 0:00,2343,15,N Hollywood,1523,1,110,CRIMINAL HOMICIDE,0209 0302 0371 0430 0906 1100 1313 1402 1414 1407,28,M,H,119,"PORCH, RESIDENTIAL",109,SEMI-AUTOMATIC PISTOL,AO,Adult Other,110,998,,,6200    BABCOCK                      AV,,34.1831,-118.4063
111819771,10/10/2011 0:00,10/10/2011 0:00,1630,18,Southeast,1801,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402,15,M,H,109,PARK/PLAYGROUND,102,HAND GUN,IC,Invest Cont,110,998,,,8800 S  HOOVER                       ST,,33.958,-118.2869
111924817,12/14/2011 0:00,12/14/2011 0:00,115,19,Mission,1924,1,110,CRIMINAL HOMICIDE,2002 1206 1822 1309,22,F,H,101,STREET,307,VEHICLE,IC,Invest Cont,110,,,,SAN FERNANDO,POLK,34.2992,-118.4592
112020397,10/24/2011 0:00,10/24/2011 0:00,100,20,Olympic,2036,1,110,CRIMINAL HOMICIDE,0430 0906 1402 1100 0216 0334 1816 1316 0302 1409,23,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,998,,,700 S  BERENDO                      ST,,34.0598,-118.2941
110627314,11/17/2011 0:00,11/17/2011 0:00,2155,6,Hollywood,667,1,110,CRIMINAL HOMICIDE,0430 1100 1402,32,M,B,101,STREET,102,HAND GUN,IC,Invest Cont,110,998,,,LEXINGTON,GOWER,34.0926,-118.3223
110322456,10/14/2011 0:00,10/14/2011 0:00,15,3,Southwest,362,1,110,CRIMINAL HOMICIDE,0302 0334 0430 0906 1100 1402 1407 1822,22,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,IC,Invest Cont,110,,,,4000    NICOLET                      AV,,34.0146,-118.3512
111616146,9/10/2011 0:00,9/10/2011 0:00,50,16,Foothill,1684,1,110,CRIMINAL HOMICIDE,0302 0430 1270 0389 0906 1100 1402 1407 1414 1816,43,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102,HAND GUN,AA,Adult Arrest,110,998,,,7600    LAUREL CANYON                BL,,34.2085,-118.3965
111317257,7/22/2011 0:00,7/22/2011 0:00,1145,13,Newton,1362,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1240 1309 1310 1402 1407,46,M,H,101,STREET,102,HAND GUN,AA,Adult Arrest,110,998,,,50TH                         ST,MAIN                         ST,33.9975,-118.274
111219739,8/7/2011 0:00,8/7/2011 0:00,350,12,77th Street,1253,1,110,CRIMINAL HOMICIDE,0430 0906 1100 1402 1407,34,M,B,104,DRIVEWAY,109,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,110,,,,1800 W  78TH                         PL,,33.9682,-118.309
111516301,8/20/2011 0:00,8/20/2011 0:00,130,15,N Hollywood,1502,1,110,CRIMINAL HOMICIDE,0302 1807 1801 0334 0430 0906 1100 1270 1816 1414,22,M,B,501,SINGLE FAMILY DWELLING,102,HAND GUN,AA,Adult Arrest,110,,,,8100    COLDWATER CANYON             AV,,34.2183,-118.4144
110501564,7/3/2011 0:00,7/3/2011 0:00,56,5,Harbor,566,1,110,CRIMINAL HOMICIDE,0430 0906 1100,23,M,H,102,SIDEWALK,106,UNKNOWN FIREARM,AA,Adult Arrest,110,,,,1300 S  MESA                         ST,,33.7324,-118.2857
110501865,9/18/2011 0:00,9/18/2011 0:00,430,5,Harbor,522,1,110,CRIMINAL HOMICIDE,0411 0416 0906 1402,23,M,H,108,PARKING LOT,500,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,110,998,,,800    WILMINGTON                   BL,,33.7794,-118.2742
